P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
Xalvarezi	Xmultilineatus	Xhellerii	35.2803	0	-0.107613	2.82514e+06	128212	95459.2	229159	8603.12	865782	57370.6	62978.1	40680.1	1.76997e+06	52641.5	31140.1	43032.5	451830	3149.38
Xalvarezi	Xhellerii	Xnezahuacoyotl	36.0867	0	0.0928305	2.74151e+06	171973	119143	214458	11005.8	812952	49793.2	53490.9	66643.3	1.71302e+06	69346.8	55742.4	48639.1	420206	3278.5
Xalvarezi	Xnezahuacoyotl	Xhellerii	32.394	0	-0.128662	2.74151e+06	119143	171973	214458	11005.8	812952	66643.3	55742.4	49793.2	1.71302e+06	48639.1	53490.9	69346.8	420206	3278.5
Xalvarezi	Xhellerii	Xnigrensis	58.5487	0	0.217704	2.50116e+06	398633	102377	184296	16871.9	708405	68704.8	98064	100873	1.55798e+06	149098	45867.5	42128.2	354304	3441.75
Xalvarezi	Xnigrensis	Xhellerii	42.2552	0	-0.627595	2.50116e+06	102377	398633	184296	16871.9	708405	100873	45867.5	68704.8	1.55798e+06	42128.2	98064	149098	354304	3441.75
Xalvarezi	Xhellerii	Xpygmaeus	39.9347	0	0.0745982	2.87581e+06	49984.9	136956	238439	6164.38	900127	35689.4	17372.8	52033.4	1.80824e+06	25691.1	69380.6	56403	472834	3154
Xalvarezi	Xpygmaeus	Xhellerii	36.7155	0	-0.0961062	2.87581e+06	136956	49984.9	238439	6164.38	900127	52033.4	69380.6	35689.4	1.80824e+06	56403	17372.8	25691.1	472834	3154
Xalvarezi	Xhellerii	Xsignum	9.00249	0	0.0172369	2.88684e+06	37321.6	134218	237575	4849.88	893104	37017.4	18151.5	40535.1	1.82341e+06	17099	62691.5	56015.8	471156	2076.38
Xalvarezi	Xsignum	Xhellerii	8.84459	0	-0.0181768	2.88684e+06	134218	37321.6	237575	4849.88	893104	40535.1	62691.5	37017.4	1.82341e+06	56015.8	18151.5	17099	471156	2076.38
Xalvarezi	Xhellerii	Xvariatus	32.7131	0	0.0835027	2.78371e+06	128835	122431	209983	9384.12	819534	47202.9	46690.2	62033.9	1.7245e+06	59668.5	56695.8	49882	412633	3038.38
Xalvarezi	Xvariatus	Xhellerii	29.7325	0	-0.111412	2.78371e+06	122431	128835	209983	9384.12	819534	62033.9	56695.8	47202.9	1.7245e+06	49882	46690.2	59668.5	412633	3038.38
Xalvarezi	Xhellerii	Xxiphidium	36.5506	0	0.702289	2.20917e+06	661378	70769.2	119546	25507.9	518363	97689.4	171400	149248	1.3015e+06	269479	23940.4	26661.2	216303	3393.5
Xhellerii	Xalvarezi	Xxiphidium	-21.0562	1	3.78584	2.20917e+06	661378	518363	97689.4	171400	70769.2	119546	25507.9	149248	1.3015e+06	269479	23940.4	216303	26661.2	3393.5
Xalvarezi	Xmalinche_CHIC2	Xmayae	26.6014	0	-0.0384375	2.97286e+06	15443.4	106358	291057	4013.38	1.01834e+06	34966.4	11227.9	25487.2	1.91371e+06	8051.62	45437.1	46853.1	580621	3366.25
Xalvarezi	Xmayae	Xmalinche_CHIC2	27.586	0	0.0344635	2.97286e+06	106358	15443.4	291057	4013.38	1.01834e+06	25487.2	45437.1	34966.4	1.91371e+06	46853.1	11227.9	8051.62	580621	3366.25
Xalvarezi	Xmalinche_CHIC2	Xmeyeri	3.10828	0.000940979	-0.00515735	2.88559e+06	90136.8	88075.6	268363	7242.12	951960	36897.6	37932.5	35710	1.83665e+06	37140.6	35572.2	35978.6	526222	3009.88
Xalvarezi	Xmeyeri	Xmalinche_CHIC2	3.12422	0.00089144	0.00507877	2.88559e+06	88075.6	90136.8	268363	7242.12	951960	35710	35572.2	36897.6	1.83665e+06	35978.6	37932.5	37140.6	526222	3009.88
Xalvarezi	Xmalinche_CHIC2	Xmilleri	21.4302	0	0.0763743	2.59886e+06	352564	70330.1	206277	14178.1	775006	69122.3	109767	80463.6	1.61793e+06	138210	24865.2	29222.1	397286	3619.12
Xalvarezi	Xmilleri	Xmalinche_CHIC2	19.6581	0	-0.0990746	2.59886e+06	70330.1	352564	206277	14178.1	775006	80463.6	24865.2	69122.3	1.61793e+06	29222.1	109767	138210	397286	3619.12
Xalvarezi	Xmalinche_CHIC2	Xmonticolus	25.3103	0	0.147218	2.45776e+06	480645	62393.3	171884	17427.2	678968	87232.7	148613	101846	1.50917e+06	186516	19766.4	25903.2	327236	3924.88
Xalvarezi	Xmonticolus	Xmalinche_CHIC2	20.9409	0	-0.26367	2.45776e+06	62393.3	480645	171884	17427.2	678968	101846	19766.4	87232.7	1.50917e+06	25903.2	148613	186516	327236	3924.88
Xalvarezi	Xmalinche_CHIC2	Xmontezumae	1.23671	0.108097	0.00233618	2.84262e+06	125790	80193.4	254528	7007	912472	40790.4	51576.4	41290.9	1.79331e+06	52952.9	31178.5	31348	492078	2274.62
Xalvarezi	Xmontezumae	Xmalinche_CHIC2	1.23382	0.108636	-0.00235267	2.84262e+06	80193.4	125790	254528	7007	912472	41290.9	31178.5	40790.4	1.79331e+06	31348	51576.4	52952.9	492078	2274.62
Xalvarezi	Xmalinche_CHIC2	Xmultilineatus	3.57476	0.000175317	0.00549996	2.88351e+06	92131.2	82966.6	273670	6781.75	956309	33914.7	36304.6	35240.6	1.83598e+06	38018.6	33944.1	32760.2	531230	2323.5
Xalvarezi	Xmultilineatus	Xmalinche_CHIC2	3.55499	0.00018904	-0.00559223	2.88351e+06	82966.6	92131.2	273670	6781.75	956309	35240.6	33944.1	33914.7	1.83598e+06	32760.2	36304.6	38018.6	531230	2323.5
Xalvarezi	Xmalinche_CHIC2	Xnezahuacoyotl	3.81456	6.82369e-05	0.00742233	2.80034e+06	167519	72772.2	257278	10040.2	900059	43445.6	59695	45044.6	1.7766e+06	64264.2	27634.5	28802.8	494688	2476.5
Xalvarezi	Xnezahuacoyotl	Xmalinche_CHIC2	3.78603	7.65606e-05	-0.00759137	2.80034e+06	72772.2	167519	257278	10040.2	900059	45044.6	27634.5	43445.6	1.7766e+06	28802.8	59695	64264.2	494688	2476.5
Xalvarezi	Xmalinche_CHIC2	Xnigrensis	33.3772	0	0.0949904	2.56163e+06	392830	54655.7	227084	18144.8	794136	62979.1	105879	80203.6	1.62194e+06	143564	19062.9	22148.2	428926	3053.25
Xalvarezi	Xnigrensis	Xmalinche_CHIC2	29.8739	0	-0.132848	2.56163e+06	54655.7	392830	227084	18144.8	794136	80203.6	19062.9	62979.1	1.62194e+06	22148.2	105879	143564	428926	3053.25
Xalvarezi	Xmalinche_CHIC2	Xpygmaeus	2.75191	0.00296251	0.00355513	2.93635e+06	45042.1	90096.1	286184	4392.62	995078	27710.1	20994.5	28632.3	1.87815e+06	19715.9	38861.1	35503.1	558240	2163.38
Xalvarezi	Xpygmaeus	Xmalinche_CHIC2	2.74209	0.00305253	-0.00359345	2.93635e+06	90096.1	45042.1	286184	4392.62	995078	28632.3	38861.1	27710.1	1.87815e+06	35503.1	20994.5	19715.9	558240	2163.38
Xalvarezi	Xmalinche_CHIC2	Xsignum	31.1566	0	-0.0554164	2.93438e+06	44712.8	99692.5	268970	5112	966978	40504.8	29400.8	28508.8	1.8718e+06	19287.4	39891.2	43187.8	534758	3132
Xalvarezi	Xsignum	Xmalinche_CHIC2	32.7925	0	0.0475168	2.93438e+06	99692.5	44712.8	268970	5112	966978	28508.8	39891.2	40504.8	1.8718e+06	43187.8	29400.8	19287.4	534758	3132
Xalvarezi	Xmalinche_CHIC2	Xvariatus	1.17572	0.119853	-0.0024936	2.83463e+06	131911	83590	244362	8175.62	899032	44730.2	55474.5	44233.7	1.77911e+06	58611	31244.5	33994.1	477446	2991.12
Xalvarezi	Xvariatus	Xmalinche_CHIC2	1.17865	0.119269	0.00247508	2.83463e+06	83590	131911	244362	8175.62	899032	44233.7	31244.5	44730.2	1.77911e+06	33994.1	55474.5	58611	477446	2991.12
Xalvarezi	Xmalinche_CHIC2	Xxiphidium	32.961	0	0.64052	2.23511e+06	687482	54956.2	129952	19382.4	559074	109262	199064	146127	1.32554e+06	278444	16733.9	21430.9	239706	4130.88
Xmalinche_CHIC2	Xalvarezi	Xxiphidium	-14.4622	1	-3.58285	2.23511e+06	687482	559074	109262	199064	54956.2	129952	19382.4	146127	1.32554e+06	278444	16733.9	239706	21430.9	4130.88
Xalvarezi	Xmayae	Xmeyeri	23.944	0	0.0305244	2.96989e+06	107707	14731.2	287003	3907.75	1.01186e+06	26002.4	46537.5	34220.1	1.90855e+06	47894.8	10041.8	7857.5	572360	3265.25
