H.m.rosina	H.cydno	H.timareta	486.429	0	0.379477	8.61095e+09	9.53865e+08	7.50935e+08	2.01114e+08	2.16581e+08	6.73639e+08	1.00065e+08	1.06513e+08	1.61861e+08	9.4068e+08	1.48457e+08	1.32891e+08	7.83798e+07	1.3742e+08	6.35319e+06
H.m.rosina	H.timareta	H.cydno	188.956	0	2.74126	8.61095e+09	7.50935e+08	9.53865e+08	2.01114e+08	2.16581e+08	6.73639e+08	1.61861e+08	1.32891e+08	1.00065e+08	9.4068e+08	7.83798e+07	1.06513e+08	1.48457e+08	1.3742e+08	6.35319e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	474.915	0	0.35131	8.49524e+09	7.64888e+08	1.11005e+09	2.118e+08	2.45894e+08	6.32528e+08	1.01989e+08	8.24132e+07	1.61459e+08	9.23853e+08	1.28765e+08	1.52631e+08	1.07125e+08	1.31069e+08	6.76874e+06
H.m.rosina	H.timareta	H.cydno	217.716	0	6.51409	8.49524e+09	1.11005e+09	7.64888e+08	2.118e+08	2.45894e+08	6.32528e+08	1.61459e+08	1.52631e+08	1.01989e+08	9.23853e+08	1.07125e+08	8.24132e+07	1.28765e+08	1.31069e+08	6.76874e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	482.019	0	0.34733	8.4748e+09	9.73228e+08	8.084e+08	2.13182e+08	2.4632e+08	6.56067e+08	1.00296e+08	1.04628e+08	1.6037e+08	9.21806e+08	1.46636e+08	1.33625e+08	8.16872e+07	1.33814e+08	6.59995e+06
H.m.rosina	H.timareta	H.cydno	225.504	0	8.27177	8.4748e+09	8.084e+08	9.73228e+08	2.13182e+08	2.4632e+08	6.56067e+08	1.6037e+08	1.33625e+08	1.00296e+08	9.21806e+08	8.16872e+07	1.04628e+08	1.46636e+08	1.33814e+08	6.59995e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	439.691	0	0.278498	8.2538e+09	1.20561e+09	7.23527e+08	2.38277e+08	3.06684e+08	6.10952e+08	1.00851e+08	1.16854e+08	1.53897e+08	8.93236e+08	1.63045e+08	1.07969e+08	7.22347e+07	1.26796e+08	6.90697e+06
H.m.rosina	H.timareta	H.cydno	269.972	0	-1.69293	8.2538e+09	7.23527e+08	1.20561e+09	2.38277e+08	3.06684e+08	6.10952e+08	1.53897e+08	1.07969e+08	1.00851e+08	8.93236e+08	7.22347e+07	1.16854e+08	1.63045e+08	1.26796e+08	6.90697e+06
